timestamp,demanda_ejecutado,programacion_diaria,reprogramacion_diaria
2023-01-04 19:00:00,7309.537,7255.93759,7051.29267
2023-01-04 19:30:00,7303.653,7306.19069,7288.85946
2023-01-04 20:00:00,7288.782,7333.63613,7267.42057
2023-01-04 20:30:00,7280.853,7324.7492,7241.37722
2023-01-04 21:00:00,7189.997,7294.25015,7237.06008
2023-01-04 21:30:00,7149.112,7290.56442,7302.49195
2023-01-04 22:00:00,7029.502,7232.20443,7301.68206
2023-01-04 22:30:00,7062.385,7149.42759,7101.7906
2023-01-04 23:00:00,6833.548,6990.00883,7090.72495
2023-01-04 23:30:00,6766.665,6757.80112,6692.02366
2023-01-05 00:00:00,6730.812,6583.81981,6668.40163
2023-01-05 00:30:00,6360.03095,6384.57978,6321.82914
2023-01-05 01:00:00,6258.94373,6283.99124,6313.96961
2023-01-05 01:30:00,6179.70451,6189.39762,6121.83257
2023-01-05 02:00:00,5983.06579,6126.20887,6117.94587
2023-01-05 02:30:00,6067.14552,6076.25769,6013.45623
2023-01-05 03:00:00,5953.8355,6031.67958,6015.94588
2023-01-05 03:30:00,5966.07426,6014.42242,6002.56421
2023-01-05 04:00:00,5974.70349,6018.31704,6010.1864
2023-01-05 04:30:00,6021.06638,6024.39908,6046.30057
2023-01-05 05:00:00,6023.20416,6030.19515,6045.70002
2023-01-05 05:30:00,5935.86296,6052.06108,6061.49862
2023-01-05 06:00:00,6033.24231,6072.67296,6113.79903
2023-01-05 06:30:00,5993.28848,6131.2669,6223.30968
2023-01-05 07:00:00,6138.29669,6202.65569,6281.53206
2023-01-05 07:30:00,6422.14394,6379.94494,6579.19297
2023-01-05 08:00:00,6512.04336,6513.53223,6619.85325
2023-01-05 08:30:00,6867.37722,6720.8677,6982.52324
2023-01-05 09:00:00,6977.01824,6903.25812,7001.91917
2023-01-05 09:30:00,6967.58381,7043.6071,7227.38506
2023-01-05 10:00:00,7201.61757,7157.69733,7231.87104
2023-01-05 10:30:00,7301.31547,7241.43118,7401.71258
2023-01-05 11:00:00,7339.41291,7320.9344,7394.30797
2023-01-05 11:30:00,7282.68002,7321.88122,7499.54005
2023-01-05 12:00:00,7338.48208,7323.11155,7491.40232
2023-01-05 12:30:00,7345.97728,7280.03557,7412.29156
2023-01-05 13:00:00,7312.32498,7245.87458,7427.06283
2023-01-05 13:30:00,7157.65908,7203.11229,7337.53915
2023-01-05 14:00:00,7278.67599,7183.05626,7341.83504
2023-01-05 14:30:00,7381.5833,7268.51895,7479.98924
2023-01-05 15:00:00,7302.33164,7264.99992,7465.50035
2023-01-05 15:30:00,7217.35253,7259.95195,7439.42719
2023-01-05 16:00:00,7257.5294,7243.83405,7422.18929
2023-01-05 16:30:00,7238.00406,7188.13973,7312.68703
2023-01-05 17:00:00,7118.32029,7143.79154,7327.33396
2023-01-05 17:30:00,7077.84907,7045.98957,7087.41195
2023-01-05 18:00:00,6876.05279,6936.9696,7063.78258
2023-01-05 18:30:00,6882.10034,6874.97432,7110.68844
2023-01-05 19:00:00,7147.79364,7131.05798,7105.55135
2023-01-05 19:30:00,7232.29004,7172.53632,7324.49438
2023-01-05 20:00:00,7189.9648,7173.65575,7334.38564
2023-01-05 20:30:00,7187.56403,7169.98891,7282.13878
2023-01-05 21:00:00,7122.27391,7154.44187,7278.04491
2023-01-05 21:30:00,7059.48029,7130.70407,7356.39044
2023-01-05 22:00:00,6958.81795,7031.59419,7332.67246
2023-01-05 22:30:00,6951.17779,6935.98537,7155.39061
2023-01-05 23:00:00,6696.92438,6805.21379,7143.81376
2023-01-05 23:30:00,6615.54411,6658.14139,6727.20026
2023-01-06 00:00:00,6439.39525,6481.31578,6738.57803
2023-01-06 00:30:00,6381.53693,6430.72065,6367.92392
2023-01-06 01:00:00,6228.43918,6305.36442,6353.2344
2023-01-06 01:30:00,6258.32264,6220.20537,6161.43834
2023-01-06 02:00:00,6094.14074,6146.09745,6159.53898
2023-01-06 02:30:00,6026.65622,6101.67471,6048.81935
2023-01-06 03:00:00,6062.64941,6071.35694,6060.1132
2023-01-06 03:30:00,6026.64037,6070.02566,6022.31953
2023-01-06 04:00:00,6020.11774,6082.17365,6011.7428
2023-01-06 04:30:00,6028.11579,6094.03618,6046.4837
2023-01-06 05:00:00,6138.03003,6099.40656,6055.1458
2023-01-06 05:30:00,6108.96641,6096.15501,6077.12657
2023-01-06 06:00:00,6066.53741,6106.11205,6122.88325
2023-01-06 06:30:00,6171.90136,6156.46545,6222.24481
2023-01-06 07:00:00,6248.25719,6250.6965,6303.04637
2023-01-06 07:30:00,6520.03352,6450.32477,6589.94846
2023-01-06 08:00:00,6611.45215,6627.87587,6596.70291
2023-01-06 08:30:00,6876.75196,6873.06367,6996.0277
2023-01-06 09:00:00,6978.52822,7034.01534,7006.20582
2023-01-06 09:30:00,7064.10436,7145.29132,7234.7733
2023-01-06 10:00:00,7217.41813,7243.43169,7250.82271
2023-01-06 10:30:00,7320.90093,7316.80173,7410.38563
2023-01-06 11:00:00,7345.60286,7397.18779,7406.69877
2023-01-06 11:30:00,7369.19313,7442.72328,7496.53895
2023-01-06 12:00:00,7482.61328,7457.37671,7505.63687
2023-01-06 12:30:00,7471.48514,7419.57402,7386.94084
2023-01-06 13:00:00,7325.60753,7388.2858,7445.50096
2023-01-06 13:30:00,7373.22803,7349.75342,7371.95637
2023-01-06 14:00:00,7374.25915,7376.44665,7363.16298
2023-01-06 14:30:00,7411.16307,7445.13882,7490.36601
2023-01-06 15:00:00,7522.68662,7439.22606,7490.2351
2023-01-06 15:30:00,7511.17242,7430.73851,7450.85262
2023-01-06 16:00:00,7327.65956,7412.92382,7441.1819
2023-01-06 16:30:00,7277.06677,7360.42322,7313.2499
2023-01-06 17:00:00,7203.05791,7223.39398,7347.81799
2023-01-06 17:30:00,7004.38383,7110.88447,7096.32485
2023-01-06 18:00:00,6891.08246,7010.51924,7048.9835
2023-01-06 18:30:00,6838.08637,6963.1142,7118.30823
2023-01-06 19:00:00,7121.27646,7266.31607,7109.3776
2023-01-06 19:30:00,7272.3219,7308.59582,7340.60194
2023-01-06 20:00:00,7275.55733,7317.14622,7326.32123
2023-01-06 20:30:00,7253.29624,7291.31505,7309.34729
2023-01-06 21:00:00,7194.85932,7259.94673,7295.84733
2023-01-06 21:30:00,7188.84705,7204.69981,7358.88278
2023-01-06 22:00:00,7072.24837,7142.34605,7348.50681
2023-01-06 22:30:00,6978.99472,7052.6619,7167.60486
2023-01-06 23:00:00,6798.08323,6897.19947,7138.95512
2023-01-06 23:30:00,6658.68965,6721.32554,6738.54158
2023-01-07 00:00:00,6512.70003,6562.12775,6751.88109
2023-01-07 00:30:00,6386.78266,6475.3897,6510.80046
2023-01-07 01:00:00,6284.83942,6355.0218,6497.79023
2023-01-07 01:30:00,6194.1716,6277.67774,6329.4879
2023-01-07 02:00:00,6245.16149,6229.60459,6327.77939
2023-01-07 02:30:00,6089.81923,6183.84647,6249.90767
2023-01-07 03:00:00,6136.24688,6161.1428,6242.46002
2023-01-07 03:30:00,6195.40352,6141.48523,6242.40626
2023-01-07 04:00:00,6086.92616,6131.23489,6242.76589
