timestamp,A,B,C,D,E,F,G
2023-01-02 14:30:00,7294.8125900000005,7142.4191200000005,,,,,
2023-01-02 15:00:00,7286.552060000003,7134.64961,7083.834599999998,,,,
2023-01-02 15:30:00,7287.255090000001,7135.12922,7080.20444,,,,
2023-01-02 16:00:00,7286.29277,7134.20101,7082.48196,,,,
2023-01-02 16:30:00,7249.271560000001,7089.748050000001,7045.85141,,,,
2023-01-02 17:00:00,7088.415399999999,7033.645519999998,6986.009289999998,,,,
2023-01-02 17:30:00,6981.119060000003,6932.5654300000015,6880.0554999999995,,,,
2023-01-02 18:00:00,6851.6961,6794.122690000002,6713.584559999999,,,,
2023-01-02 18:30:00,6997.260040000001,6941.239950000002,6841.13771,,,,
2023-01-02 19:00:00,7307.2100900000005,7257.62958,7155.343599999999,,,,
2023-01-02 19:30:00,7340.03789,7290.65174,7190.022339999999,,,,
